id	type
DDX11L1	transcribed_pseudogene
WASH7P	transcribed_pseudogene
MIR6859-1	miRNA
MIR1302-2	miRNA
FAM138A	lncRNA
OR4G4P	pseudogene
OR4G11P	pseudogene
OR4F5	protein_coding
SEPTIN14P18	pseudogene
CICP27	pseudogene
LOC729737	lncRNA
RNU6-1100P	pseudogene
GTF2IP10	pseudogene
RPL23AP21	pseudogene
LOC100132287	lncRNA
CICP7	pseudogene
SEPTIN14P13	pseudogene
OR4F29	protein_coding
WBP1LP7	pseudogene
RPL23AP24	pseudogene
LOC101928626	lncRNA
MTND1P23	pseudogene
MTND2P28	pseudogene
MTCO1P12	pseudogene
MIR12136	miRNA
MTCO2P12	pseudogene
MTATP8P1	pseudogene
MTATP6P1	pseudogene
MTCO3P12	pseudogene
WBP1LP6	pseudogene
OR4F16	protein_coding
SEPTIN14P14	pseudogene
CICP3	pseudogene
LOC100133331	lncRNA
RNU6-1199P	pseudogene
LOC100288069	lncRNA
FAM87B	lncRNA
LINC00115	lncRNA
LINC01128	lncRNA
FAM41C	lncRNA
TUBB8P11	pseudogene
LINC02593	lncRNA
SAMD11	protein_coding
NOC2L	protein_coding
KLHL17	protein_coding
PLEKHN1	protein_coding
PERM1	protein_coding
HES4	protein_coding
RPL39P12	pseudogene
ISG15	protein_coding
AGRN	protein_coding
LOC100288175	lncRNA
RNF223	protein_coding
C1orf159	protein_coding
LINC01342	lncRNA
MIR200B	miRNA
MIR200A	miRNA
MIR429	miRNA
TTLL10	protein_coding
TNFRSF18	protein_coding
TNFRSF4	protein_coding
SDF4	protein_coding
B3GALT6	protein_coding
C1QTNF12	protein_coding
UBE2J2	protein_coding
SCNN1D	protein_coding
ACAP3	protein_coding
MIR6726	miRNA
SNORD167	snoRNA
PUSL1	protein_coding
INTS11	protein_coding
MIR6727	miRNA
CPTP	protein_coding
TAS1R3	protein_coding
DVL1	protein_coding
MIR6808	miRNA
MXRA8	protein_coding
AURKAIP1	protein_coding
NDUFB4P8	pseudogene
CCNL2	protein_coding
MRPL20-AS1	lncRNA
MRPL20	protein_coding
RN7SL657P	pseudogene
ANKRD65	protein_coding
TMEM88B	protein_coding
LINC01770	lncRNA
VWA1	protein_coding
ATAD3C	protein_coding
ATAD3B	protein_coding
ATAD3A	protein_coding
TMEM240	protein_coding
SSU72	protein_coding
FNDC10	protein_coding
LOC105378586	lncRNA
MIB2	protein_coding
MMP23B	protein_coding
CDK11B	protein_coding
SLC35E2B	protein_coding
LOC100288379	pseudogene
MMP23A	transcribed_pseudogene
CDK11A	protein_coding
SLC35E2A	protein_coding
LOC100129381	pseudogene
NADK	protein_coding
GNB1	protein_coding
CALML6	protein_coding
TMEM52	protein_coding
CFAP74	protein_coding
GABRD	protein_coding
LOC105378591	lncRNA
PRKCZ	protein_coding
PRKCZ-AS1	lncRNA
FAAP20	protein_coding
SKI	protein_coding
MORN1	protein_coding
LOC100129534	transcribed_pseudogene
RER1	protein_coding
PEX10	protein_coding
PLCH2	protein_coding
PANK4	protein_coding
HES5	protein_coding
TNFRSF14-AS1	lncRNA
TNFRSF14	protein_coding
LOC100996583	lncRNA
PRXL2B	protein_coding
MMEL1	protein_coding
TTC34	protein_coding
ACTRT2	protein_coding
PRDM16-DT	lncRNA
PRDM16	protein_coding
LOC100420339	pseudogene
MIR4251	miRNA
ARHGEF16	protein_coding
MEGF6	protein_coding
MIR551A	miRNA
TPRG1L	protein_coding
WRAP73	protein_coding
TP73	protein_coding
TP73-AS1	lncRNA
CCDC27	protein_coding
SMIM1	protein_coding
LRRC47	protein_coding
RN7SL574P	pseudogene
CEP104	protein_coding
DFFB	protein_coding
C1orf174	protein_coding
LINC01134	lncRNA
LINC01346	lncRNA
LINC01345	lncRNA
EEF1DP6	pseudogene
LINC01777	lncRNA
LINC01646	lncRNA
AJAP1	protein_coding
MIR4689	miRNA
NPHP4	protein_coding
KCNAB2	protein_coding
CHD5	protein_coding
RPL22	protein_coding
LOC102724450	lncRNA
RNF207	protein_coding
ICMT	protein_coding
LINC00337	lncRNA
HES3	protein_coding
GPR153	protein_coding
ACOT7	protein_coding
HES2	protein_coding
ESPN	protein_coding
MIR4252	miRNA
TNFRSF25	protein_coding
PLEKHG5	protein_coding
NOL9	protein_coding
RNU6-731P	pseudogene
TAS1R1	protein_coding
ZBTB48	protein_coding
KLHL21	protein_coding
PHF13	protein_coding
THAP3	protein_coding
DNAJC11	protein_coding
LINC01672	lncRNA
CAMTA1-DT	lncRNA
CAMTA1	protein_coding
RPL37P9	pseudogene
RNU1-8P	pseudogene
CAMTA1-AS2	lncRNA
VAMP3	protein_coding
PER3	protein_coding
UTS2	protein_coding
TNFRSF9	protein_coding
TRUND-NNN4-1	pseudogene
PARK7	protein_coding
ERRFI1	protein_coding
RPL7AP18	pseudogene
LOC100129776	pseudogene
RNU1-7P	pseudogene
LINC01714	lncRNA
RNU6-991P	pseudogene
SLC45A1	protein_coding
RERE	protein_coding
RERE-AS1	lncRNA
SNORD128	snoRNA
RPL7P11	pseudogene
RPL7P7	pseudogene
RPL27P3	pseudogene
RPL23AP19	pseudogene
ENO1	protein_coding
MIR6728	miRNA
ENO1-AS1	lncRNA
RNU6-304P	pseudogene
HMGN2P17	pseudogene
CA6	protein_coding
RN7SL451P	pseudogene
SLC2A7	protein_coding
SLC2A5	protein_coding
GPR157	protein_coding
MIR34AHG	lncRNA
MIR34A	miRNA
LNCTAM34A	lncRNA
H6PD	protein_coding
SPSB1	protein_coding
LINC02606	lncRNA
RNA5SP40	pseudogene
SLC25A33	protein_coding
RPL9P11	pseudogene
TMEM201	protein_coding
PIK3CD	protein_coding
PIK3CD-AS1	lncRNA
RPL26P7	pseudogene
PIK3CD-AS2	lncRNA
CLSTN1	protein_coding
MZT1P1	pseudogene
CTNNBIP1	protein_coding
LZIC	protein_coding
NMNAT1	protein_coding
RN7SKP269	pseudogene
TMEM274P	transcribed_pseudogene
MIR5697	miRNA
RBP7	protein_coding
UBE4B	protein_coding
RPL21P21	pseudogene
PGAM1P11	pseudogene
